HHNR;Etappennummer;Wegnummer;Verkehrsmittel;Zweck;Distanz_km;Start_X;Start_Y;Ziel_X;Ziel_Y;Freizeitaktivität;gwp_pro_Kilometer_[g];Emissionen
110001;4;4;Auto;8;3.973;6.5598699534;46.549365582;6.5525982355;46.568204768;2;153.01635264799998;607.9339690705038
110001;6;6;Auto;8;0.404;6.5540091728;46.540095216;6.5540091728;46.540095216;16;153.01635264799998;61.818606469791995
110008;1;1;Zu Fuss;8;5.778;6.6356518149;46.785591498;6.6356518149;46.785591498;7;0.0;0.0
110008;4;4;Zu Fuss;8;3.262;6.6356518149;46.785591498;6.6356518149;46.785591498;3;0.0;0.0
110011;1;1;Zu Fuss;8;0.556;9.112485117;47.451677035;9.112485117;47.451677035;7;0.0;0.0
110026;7;2;Zu Fuss;8;0.287;8.60989076;47.68254957;8.6110650544;47.682396121;1;0.0;0.0
110026;12;4;Zu Fuss;8;2.5;8.6586133249;47.724048057;8.6586133249;47.724048057;7;0.0;0.0
110028;1;1;Zu Fuss;8;2.978;8.0065229022;47.403977113;8.0065229022;47.403977113;7;0.0;0.0
110038;2;1;Seilbahn;8;2.892;8.4206469;46.88340411;8.4502137812;46.867133564;3;60.03036021;173.60780172731998
110038;7;3;Zu Fuss;8;0.368;8.39490815;46.907983;8.3958396909;46.910411061;1;0.0;0.0
110048;1;1;Zu Fuss;8;0.379;8.9516943264;46.011106014;8.9553221793;46.011327936;4;0.0;0.0
110052;2;1;Bus;8;2.156;6.12969404;46.20078871;6.13052182;46.21324096;3;134.16938346;289.26919073976
110062;1;1;Auto;8;7.595;8.5193084449;47.314122908;8.511794001;47.355501573;10;237.212697153;1801.630434877035
110075;3;3;Auto;8;53.814;7.9083506946;47.346923169;8.3062523537;47.043340987;1;279.27937839199996;15029.140468787085
110099;5;5;Zu Fuss;8;2.538;6.928344428;46.402507797;6.9255856007;46.422083829;1;0.0;0.0
110111;2;2;Zu Fuss;8;2.5;8.4853213363;47.200910538;8.4853213363;47.200910538;7;0.0;0.0
110113;1;1;Zu Fuss;8;1.5;7.8189344823;47.242633178;7.8189344823;47.242633178;7;0.0;0.0
110123;3;3;Auto;8;0.985;9.1321335556;47.427948582;9.1246871591;47.430741327;10;248.65270621299996;244.92291561980497
110127;2;2;Auto;8;12.671;8.6310358691;47.028895335;8.7218697538;46.9925042;1;179.933909602;2279.942568566942
110127;5;5;Zu Fuss;8;2.516;8.776847891;47.036527712;8.776847891;47.036527712;3;0.0;0.0
110131;1;1;Zu Fuss;8;1.37;6.7544490983;47.06144624;6.739462;47.05581;4;0.0;0.0
110133;5;4;Zu Fuss;8;2.0;7.2934789709;46.242717365;7.2934789709;46.242717365;7;0.0;0.0
110141;2;1;Zu Fuss;8;1.718;7.400132656;47.0128479;7.400132656;47.0128479;7;0.0;0.0
110145;2;1;Zu Fuss;8;2.0;9.1879;46.46277;9.1879;46.46277;4;0.0;0.0
110145;3;2;Auto;8;16.029;9.1879;46.46277;9.2326898368;46.392146348;1;215.185202152;3449.2036052944077
110147;1;1;Zu Fuss;8;5.0;7.8314280322;47.320150656;7.8314280322;47.320150656;4;0.0;0.0
110153;1;1;Zu Fuss;8;5.546;8.5222354229;47.393600431;8.5222354229;47.393600431;3;0.0;0.0
