HHNR;Wegnummer;Distanz_km;Emissionen;Verkehrsmittel
110001;4;3.973;607.9339690705038;Auto
110001;6;0.404;61.818606469791995;Auto
110008;1;5.778;0.0;Zu Fuss
110008;4;3.262;0.0;Zu Fuss
110011;1;0.556;0.0;Zu Fuss
110026;2;0.287;0.0;Zu Fuss
110026;4;2.5;0.0;Zu Fuss
110028;1;2.978;0.0;Zu Fuss
110038;1;2.892;173.60780172731998;Seilbahn
110038;3;0.368;0.0;Zu Fuss
110048;1;0.379;0.0;Zu Fuss
110052;1;2.156;289.26919073976;Bus
110062;1;7.595;1801.630434877035;Auto
110075;3;53.814;15029.140468787085;Auto
110099;5;2.538;0.0;Zu Fuss
110111;2;2.5;0.0;Zu Fuss
110113;1;1.5;0.0;Zu Fuss
110123;3;0.985;244.92291561980497;Auto
110127;2;12.671;2279.942568566942;Auto
110127;5;2.516;0.0;Zu Fuss
110131;1;1.37;0.0;Zu Fuss
110133;4;2.0;0.0;Zu Fuss
110141;1;1.718;0.0;Zu Fuss
110145;1;2.0;0.0;Zu Fuss
110145;2;16.029;3449.2036052944077;Auto
110147;1;5.0;0.0;Zu Fuss
110153;1;5.546;0.0;Zu Fuss
110161;2;0.5;0.0;Zu Fuss
110161;5;0.254;11.615785775493999;Fahrzeugähnliche Geräte
110176;5;7.676;0.0;Zu Fuss
110187;1;26.77;0.0;Zu Fuss
110192;1;6.51;0.0;Zu Fuss
110211;1;0.2;0.0;Zu Fuss
110211;2;1.847;397.447068374744;Auto
110221;1;0.8;0.0;Zu Fuss
110232;1;1.853;248.61586755138;Bus
110232;3;46.76;11248.151676411719;Auto
110237;1;174.021;37446.744063693186;Auto
110237;2;4.808;1034.6104519468158;Auto
110237;4;2.0;0.0;Zu Fuss
110237;5;4.748;1021.699339817696;Auto
110253;7;0.025;0.0;Zu Fuss
110256;5;2.0;0.0;Zu Fuss
110264;2;10.917;2324.6902335019586;Auto
110268;3;8.178;1471.4995127251561;Auto
110275;1;5.0;0.0;Zu Fuss
110277;5;2.0;0.0;Zu Fuss
110278;1;60.322;8807.215449892177;Auto
110281;1;91.376;19006.999152505585;Auto
110286;2;0.941;0.0;Zu Fuss
110288;1;81.561;17432.492221575834;Auto, Fahrzeugähnliche Geräte
110296;3;2.5;0.0;Zu Fuss
110297;2;0.2;0.0;Zu Fuss
110302;3;2.9;0.0;Zu Fuss
110305;3;2.724;490.139969755848;Auto
110305;10;0.8;0.0;Zu Fuss
110308;1;7.118;0.0;Zu Fuss
110308;2;1.5;0.0;Zu Fuss
110308;3;4.935;1061.9389726201198;Auto
110337;1;38.117999999999995;7201.403905574982;Auto, Auto
110343;1;0.8;0.0;Zu Fuss
110345;1;0.448;0.0;Zu Fuss
110352;2;0.19;0.0;Zu Fuss
110352;5;0.909;0.0;Zu Fuss
110353;4;8.018;0.0;Zu Fuss
110359;1;1.45;0.0;Zu Fuss
110362;1;2.8;0.0;Zu Fuss
110373;1;3.472;0.0;Zu Fuss
110373;2;30.621;6520.503768440366;Auto
110373;4;2.5;0.0;Zu Fuss
110375;2;6.438;1527.175344271014;Auto
110388;2;0.971;0.0;Zu Fuss
110405;3;1.723;370.764103307896;Auto
110414;1;1.0;0.0;Zu Fuss
110447;3;1.0;0.0;Zu Fuss
110452;1;8.0;0.0;Zu Fuss
110461;3;0.848;0.0;Zu Fuss
110463;1;2.0;0.0;Zu Fuss
110472;1;5.566;812.6547726219267;Auto
110479;3;8.454;0.0;Zu Fuss
110483;1;2.822;0.0;Zu Fuss
110495;1;1.622;0.0;Zu Fuss
110514;3;0.1;0.0;Zu Fuss
110535;1;3.07;0.0;Zu Fuss
110537;1;0.489;0.0;Zu Fuss
110537;7;3.65;0.0;Zu Fuss
110537;9;0.804;4.486345247208;Velo
110542;2;1.0;0.0;Zu Fuss
110543;1;2.5;0.0;Zu Fuss
110544;1;3.942;575.5452953064382;Auto
110544;3;3.706;541.0884993418721;Auto
110544;5;1.986;0.0;Zu Fuss
110556;3;2.5;0.0;Zu Fuss
110563;1;261.504;54395.09615628634;Auto
110563;2;3.22;0.0;Zu Fuss
110569;3;9.926;0.0;Zu Fuss
110573;5;4.77;0.0;Zu Fuss
110579;1;0.091;21.586355440923;Auto
